Player,Pos,NBAID
Glenn Robinson III,"SF, SG, SG-SF",203922
God Shammgod,PG,1539
Goga Bitadze,C,1629048
Goran Dragić,"PG, SG, SG-PG",201609
Gordan Giriček,"SF, SF-SG, SG, SG-SF",1921
Gordon Hayward,"PF, SF",202330
Gorgui Dieng,"C, PF",203476
Grant Hill*,"SF, SG",255
Grant Jerrett,PF,203511
Grant Long,PF,3
Grant Riller,PG,-1
Grant Williams,PF,1629684
Grayson Allen,SG,1628960
Greg Anderson,C,246
Greg Anthony,PG,21
Greg Brown III,SF,-1
Greg Buckner,"SF, SG",1761
Greg Foster,"C, PF",323
Greg Graham,SG,37
Greg Minor,SG,65
Greg Monroe,"C, PF",202328
Greg Oden,C,201141
Greg Ostertag,C,731
Greg Smith,"C, PF",78190
Greg Stiemsma,C,201880
Greg Whittington,PF,-1
Greivis Vásquez,PG,202349
Guerschon Yabusele,PF,1627824
Guillermo Díaz,SG,200799
Gustavo Ayón,"C, PF",202970
Guy Rucker,PF,2462
